ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
CC	GO:0031332	RNAi effector complex	236	-0.58002440634594	-2.58764329520674	1e-10	2.08825e-07	2.08825e-07	9238	tags=54%, list=21%, signal=43%	ENSG00000199017/ENSG00000265142/ENSG00000199051/ENSG00000283899/ENSG00000199179/ENSG00000283785/ENSG00000199024/ENSG00000207736/ENSG00000207963/ENSG00000207695/ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000208009/ENSG00000198997/ENSG00000151247/ENSG00000199177/ENSG00000198987/ENSG00000207782/ENSG00000199172/ENSG00000199153/ENSG00000221540/ENSG00000199038/ENSG00000207563/ENSG00000207870/ENSG00000207600/ENSG00000199025/ENSG00000199035/ENSG00000207863/ENSG00000207947/ENSG00000207971/ENSG00000207759/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207789/ENSG00000207611/ENSG00000199036/ENSG00000207816/ENSG00000207582/ENSG00000207598/ENSG00000199053/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207737/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000284329/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000215957/ENSG00000207705/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000207633/ENSG00000207960/ENSG00000207627/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207656/ENSG00000207769/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207762/ENSG00000208022/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000212024/ENSG00000207821/ENSG00000257381/ENSG00000207607/ENSG00000207959/ENSG00000283170/ENSG00000207717/ENSG00000253522/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000207931/ENSG00000207961/ENSG00000269959/ENSG00000284508/ENSG00000207729/ENSG00000198984/ENSG00000207698/ENSG00000221261/ENSG00000208005/ENSG00000208036/ENSG00000267200/ENSG00000215939/ENSG00000199127/ENSG00000212100/ENSG00000199005/ENSG00000199132/ENSG00000207755/ENSG00000208023/ENSG00000207800/ENSG00000207752/ENSG00000207713/ENSG00000199020/ENSG00000267195/ENSG00000212040/ENSG00000207988/ENSG00000207973/ENSG00000216077/ENSG00000207625/ENSG00000207654/ENSG00000207581/ENSG00000207630/ENSG00000207954/ENSG00000207649/ENSG00000284231	
CC	GO:0016442	RISC complex	235	-0.580320191795984	-2.58267011765001	1e-10	2.08825e-07	2.08825e-07	9238	tags=54%, list=21%, signal=43%	ENSG00000199017/ENSG00000265142/ENSG00000199051/ENSG00000283899/ENSG00000199179/ENSG00000283785/ENSG00000199024/ENSG00000207736/ENSG00000207963/ENSG00000207695/ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000208009/ENSG00000198997/ENSG00000151247/ENSG00000199177/ENSG00000198987/ENSG00000207782/ENSG00000199172/ENSG00000199153/ENSG00000221540/ENSG00000199038/ENSG00000207563/ENSG00000207870/ENSG00000207600/ENSG00000199025/ENSG00000199035/ENSG00000207863/ENSG00000207947/ENSG00000207971/ENSG00000207759/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207789/ENSG00000207611/ENSG00000199036/ENSG00000207816/ENSG00000207582/ENSG00000207598/ENSG00000199053/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207737/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000284329/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000215957/ENSG00000207705/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000207633/ENSG00000207960/ENSG00000207627/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207656/ENSG00000207769/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207762/ENSG00000208022/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000212024/ENSG00000207821/ENSG00000257381/ENSG00000207607/ENSG00000207959/ENSG00000283170/ENSG00000207717/ENSG00000253522/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000207931/ENSG00000207961/ENSG00000269959/ENSG00000284508/ENSG00000207729/ENSG00000198984/ENSG00000207698/ENSG00000221261/ENSG00000208005/ENSG00000208036/ENSG00000267200/ENSG00000215939/ENSG00000199127/ENSG00000212100/ENSG00000199005/ENSG00000199132/ENSG00000207755/ENSG00000208023/ENSG00000207800/ENSG00000207752/ENSG00000207713/ENSG00000199020/ENSG00000267195/ENSG00000212040/ENSG00000207988/ENSG00000207973/ENSG00000216077/ENSG00000207625/ENSG00000207654/ENSG00000207581/ENSG00000207630/ENSG00000207954/ENSG00000207649/ENSG00000284231	
MF	GO:1990825	sequence-specific mRNA binding	180	-0.568480778288501	-2.45400874410448	1e-10	2.08825e-07	2.08825e-07	8373	tags=53%, list=19%, signal=43%	ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000266052/ENSG00000208009/ENSG00000198997/ENSG00000199177/ENSG00000207782/ENSG00000199153/ENSG00000112183/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207947/ENSG00000207971/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207611/ENSG00000207997/ENSG00000199036/ENSG00000221120/ENSG00000207582/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000254324/ENSG00000199088/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000207705/ENSG00000211580/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000211582/ENSG00000207633/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207797/ENSG00000240563/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000207821/ENSG00000207934/ENSG00000207607/ENSG00000199168/ENSG00000207626/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000265867/ENSG00000207938/ENSG00000207805/ENSG00000221463/ENSG00000198984/ENSG00000207698/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000215939/ENSG00000199127/ENSG00000208023/ENSG00000207752/ENSG00000207713/ENSG00000207989/ENSG00000267195/ENSG00000207639/ENSG00000212040/ENSG00000211583/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000207954/ENSG00000284231	
MF	GO:1903231	mRNA base-pairing post-transcriptional repressor activity	165	-0.579711287399998	-2.45022214898705	1e-10	2.08825e-07	2.08825e-07	8373	tags=56%, list=19%, signal=46%	ENSG00000194717/ENSG00000208006/ENSG00000199121/ENSG00000266052/ENSG00000208009/ENSG00000198997/ENSG00000199177/ENSG00000207782/ENSG00000199153/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207947/ENSG00000207971/ENSG00000202609/ENSG00000207595/ENSG00000199075/ENSG00000207611/ENSG00000207997/ENSG00000199036/ENSG00000221120/ENSG00000207582/ENSG00000198974/ENSG00000207932/ENSG00000207978/ENSG00000207624/ENSG00000199001/ENSG00000207933/ENSG00000254324/ENSG00000199088/ENSG00000207647/ENSG00000199102/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000272036/ENSG00000199080/ENSG00000207705/ENSG00000211580/ENSG00000207754/ENSG00000211514/ENSG00000207725/ENSG00000211582/ENSG00000207633/ENSG00000207613/ENSG00000199059/ENSG00000207547/ENSG00000207839/ENSG00000207993/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207797/ENSG00000207962/ENSG00000199069/ENSG00000207935/ENSG00000207821/ENSG00000207934/ENSG00000207607/ENSG00000199168/ENSG00000207626/ENSG00000276365/ENSG00000207827/ENSG00000215966/ENSG00000265867/ENSG00000207938/ENSG00000207805/ENSG00000221463/ENSG00000198984/ENSG00000207698/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000215939/ENSG00000199127/ENSG00000208023/ENSG00000207752/ENSG00000207713/ENSG00000207989/ENSG00000267195/ENSG00000207639/ENSG00000212040/ENSG00000211583/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000207954/ENSG00000284231	
BP	GO:0035279	miRNA-mediated gene silencing by mRNA destabilization	63	-0.628178884751301	-2.29917090995162	2.83243026681494e-08	4.73185800374104e-05	4.73185800374104e-05	10742	tags=63%, list=25%, signal=48%	ENSG00000216135/ENSG00000207811/ENSG00000198995/ENSG00000207757/ENSG00000207609/ENSG00000208027/ENSG00000207864/ENSG00000199017/ENSG00000199121/ENSG00000208009/ENSG00000199038/ENSG00000207971/ENSG00000207595/ENSG00000207611/ENSG00000207582/ENSG00000207933/ENSG00000254324/ENSG00000199102/ENSG00000207975/ENSG00000207743/ENSG00000207613/ENSG00000199059/ENSG00000207587/ENSG00000207761/ENSG00000207646/ENSG00000208017/ENSG00000199082/ENSG00000207935/ENSG00000207626/ENSG00000276365/ENSG00000207805/ENSG00000208036/ENSG00000208023/ENSG00000207713/ENSG00000267195/ENSG00000212040/ENSG00000283871/ENSG00000207654/ENSG00000207581/ENSG00000284231	0.73376198835648
BP	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	71	-0.559865665222251	-2.11478145163956	2.01689102127293e-06	0.00120336362147806	0.00120336362147806	9608	tags=51%, list=22%, signal=40%	ENSG00000207864/ENSG00000199017/ENSG00000199179/ENSG00000283785/ENSG00000208006/ENSG00000199121/ENSG00000198997/ENSG00000199177/ENSG00000199038/ENSG00000207870/ENSG00000199035/ENSG00000207971/ENSG00000207595/ENSG00000207933/ENSG00000199088/ENSG00000199122/ENSG00000207975/ENSG00000207743/ENSG00000199161/ENSG00000199080/ENSG00000207613/ENSG00000199059/ENSG00000207993/ENSG00000207935/ENSG00000276365/ENSG00000207805/ENSG00000198984/ENSG00000208005/ENSG00000208036/ENSG00000207651/ENSG00000267200/ENSG00000199047/ENSG00000207713/ENSG00000267195/ENSG00000207654/ENSG00000207954	0.627256739718528
MF	GO:0160041	neuropeptide activity	26	-0.69176126528953	-2.11442454610943	2.43966917252602e-05	0.00728092990601712	0.00728092990601712	5337	tags=50%, list=12%, signal=44%	ENSG00000133636/ENSG00000175206/ENSG00000101440/ENSG00000168081/ENSG00000006128/ENSG00000187094/ENSG00000164326/ENSG00000163794/ENSG00000141433/ENSG00000146469/ENSG00000241563/ENSG00000128564/ENSG00000147571	0.575610261071129
CC	GO:0000137	Golgi cis cisterna	31	0.656452407543785	2.09171769907086	5.04686327068057e-05	0.0120446996857128	0.0120446996857128	6848	tags=45%, list=16%, signal=38%	ENSG00000167195/ENSG00000215186/ENSG00000159289/ENSG00000140478/ENSG00000179938/ENSG00000206127/ENSG00000261247/ENSG00000178115/ENSG00000186399/ENSG00000188626/ENSG00000232653/ENSG00000261739/ENSG00000249931/ENSG00000261794	0.557332238758646
MF	GO:0005184	neuropeptide hormone activity	24	-0.705098918295962	-2.06575855925441	6.5856659395374e-05	0.0145655473148308	0.0145655473148308	5337	tags=54%, list=12%, signal=48%	ENSG00000133636/ENSG00000175206/ENSG00000101440/ENSG00000168081/ENSG00000006128/ENSG00000187094/ENSG00000164326/ENSG00000163794/ENSG00000141433/ENSG00000146469/ENSG00000241563/ENSG00000128564/ENSG00000147571	0.538434096309916
CC	GO:0019814	immunoglobulin complex	27	0.665354034151007	2.04411192327997	7.10779490156633e-05	0.0148041524857293	0.0148041524857293	7392	tags=48%, list=17%, signal=40%	ENSG00000132465/ENSG00000211645/ENSG00000211899/ENSG00000239819/ENSG00000128218/ENSG00000211632/ENSG00000211653/ENSG00000203896/ENSG00000211893/ENSG00000211897/ENSG00000211892/ENSG00000211956/ENSG00000228325	0.538434096309916
BP	GO:0045730	respiratory burst	31	0.639900487135817	2.03897671667352	0.000116396289462768	0.0194451641176501	0.0194451641176501	5241	tags=42%, list=12%, signal=37%	ENSG00000132465/ENSG00000018280/ENSG00000100365/ENSG00000128340/ENSG00000163220/ENSG00000095970/ENSG00000178927/ENSG00000163464/ENSG00000116701/ENSG00000129988/ENSG00000196352/ENSG00000172243/ENSG00000169429	0.538434096309916
BP	GO:0071260	cellular response to mechanical stimulus	73	0.531643688592896	2.01897861218458	1.1391244571636e-05	0.00434696730595703	0.00434696730595703	10341	tags=45%, list=24%, signal=35%	ENSG00000240583/ENSG00000104689/ENSG00000101916/ENSG00000171522/ENSG00000137757/ENSG00000172936/ENSG00000261371/ENSG00000064666/ENSG00000138685/ENSG00000259207/ENSG00000105695/ENSG00000154864/ENSG00000067182/ENSG00000137752/ENSG00000002330/ENSG00000125538/ENSG00000116717/ENSG00000030110/ENSG00000123700/ENSG00000026103/ENSG00000164171/ENSG00000117394/ENSG00000168040/ENSG00000134294/ENSG00000109458/ENSG00000120889/ENSG00000169194/ENSG00000108821/ENSG00000169967/ENSG00000103335/ENSG00000196664/ENSG00000169372/ENSG00000006062	0.593325476396405
BP	GO:0060760	positive regulation of response to cytokine stimulus	65	0.541141426076305	1.99999252236627	3.23840484488197e-05	0.00845324864665597	0.00845324864665597	10249	tags=45%, list=23%, signal=34%	ENSG00000283203/ENSG00000243414/ENSG00000124256/ENSG00000078401/ENSG00000137462/ENSG00000095970/ENSG00000186105/ENSG00000184371/ENSG00000140853/ENSG00000169692/ENSG00000137752/ENSG00000162511/ENSG00000019582/ENSG00000169871/ENSG00000145777/ENSG00000262406/ENSG00000204388/ENSG00000263528/ENSG00000118113/ENSG00000163694/ENSG00000204389/ENSG00000168040/ENSG00000196954/ENSG00000138496/ENSG00000121966/ENSG00000107201/ENSG00000151694/ENSG00000100644/ENSG00000173193	0.557332238758646
BP	GO:0046635	positive regulation of alpha-beta T cell activation	56	0.547316916607092	1.98321523464828	2.87709870527581e-05	0.00801080182838961	0.00801080182838961	13856	tags=52%, list=32%, signal=35%	ENSG00000143184/ENSG00000163501/ENSG00000114013/ENSG00000159216/ENSG00000105246/ENSG00000110944/ENSG00000204287/ENSG00000186818/ENSG00000196352/ENSG00000168961/ENSG00000067955/ENSG00000162594/ENSG00000135046/ENSG00000204592/ENSG00000163513/ENSG00000162711/ENSG00000020633/ENSG00000196126/ENSG00000109906/ENSG00000150782/ENSG00000117586/ENSG00000168811/ENSG00000160685/ENSG00000132842/ENSG00000144802/ENSG00000172175/ENSG00000065675/ENSG00000172724/ENSG00000204256	0.575610261071129
BP	GO:0032609	type II interferon production	113	0.485231558203542	1.97600968777491	1.43639297011628e-06	0.000922937729183177	0.000922937729183177	11880	tags=44%, list=27%, signal=32%	ENSG00000143184/ENSG00000018280/ENSG00000115594/ENSG00000101916/ENSG00000170458/ENSG00000105246/ENSG00000203710/ENSG00000115602/ENSG00000115607/ENSG00000174564/ENSG00000115604/ENSG00000016402/ENSG00000196843/ENSG00000239732/ENSG00000170298/ENSG00000110944/ENSG00000186818/ENSG00000162511/ENSG00000172243/ENSG00000168961/ENSG00000171916/ENSG00000125538/ENSG00000163251/ENSG00000162594/ENSG00000138684/ENSG00000107738/ENSG00000223865/ENSG00000168040/ENSG00000204264/ENSG00000016082/ENSG00000162739/ENSG00000175197/ENSG00000231389/ENSG00000205220/ENSG00000135077/ENSG00000106588/ENSG00000134242/ENSG00000196126/ENSG00000150782/ENSG00000189403/ENSG00000196664/ENSG00000197272/ENSG00000240065/ENSG00000117586/ENSG00000164251/ENSG00000137033/ENSG00000104972/ENSG00000168811/ENSG00000012504/ENSG00000186470	0.643551836150722
BP	GO:0032649	regulation of type II interferon production	113	0.485231558203542	1.97600968777491	1.43639297011628e-06	0.000922937729183177	0.000922937729183177	11880	tags=44%, list=27%, signal=32%	ENSG00000143184/ENSG00000018280/ENSG00000115594/ENSG00000101916/ENSG00000170458/ENSG00000105246/ENSG00000203710/ENSG00000115602/ENSG00000115607/ENSG00000174564/ENSG00000115604/ENSG00000016402/ENSG00000196843/ENSG00000239732/ENSG00000170298/ENSG00000110944/ENSG00000186818/ENSG00000162511/ENSG00000172243/ENSG00000168961/ENSG00000171916/ENSG00000125538/ENSG00000163251/ENSG00000162594/ENSG00000138684/ENSG00000107738/ENSG00000223865/ENSG00000168040/ENSG00000204264/ENSG00000016082/ENSG00000162739/ENSG00000175197/ENSG00000231389/ENSG00000205220/ENSG00000135077/ENSG00000106588/ENSG00000134242/ENSG00000196126/ENSG00000150782/ENSG00000189403/ENSG00000196664/ENSG00000197272/ENSG00000240065/ENSG00000117586/ENSG00000164251/ENSG00000137033/ENSG00000104972/ENSG00000168811/ENSG00000012504/ENSG00000186470	0.643551836150722
BP	GO:0060135	maternal process involved in female pregnancy	28	0.635999680229316	1.96476452274612	0.000207128011642104	0.0240297261284235	0.0240297261284235	9335	tags=46%, list=21%, signal=37%	ENSG00000118785/ENSG00000163501/ENSG00000111012/ENSG00000163792/ENSG00000168961/ENSG00000121853/ENSG00000111424/ENSG00000159167/ENSG00000157017/ENSG00000134760/ENSG00000091879/ENSG00000135077/ENSG00000129484	0.518848077743792
BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	58	0.536972165652039	1.95192051128479	6.62625162173553e-05	0.0145655473148308	0.0145655473148308	10249	tags=45%, list=23%, signal=34%	ENSG00000283203/ENSG00000243414/ENSG00000124256/ENSG00000078401/ENSG00000095970/ENSG00000184371/ENSG00000140853/ENSG00000169692/ENSG00000137752/ENSG00000162511/ENSG00000019582/ENSG00000169871/ENSG00000145777/ENSG00000262406/ENSG00000204388/ENSG00000263528/ENSG00000118113/ENSG00000163694/ENSG00000204389/ENSG00000168040/ENSG00000196954/ENSG00000138496/ENSG00000121966/ENSG00000151694/ENSG00000100644/ENSG00000173193	0.538434096309916
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	54	0.553510579218382	1.94465678543118	4.92385256525968e-05	0.0120446996857128	0.0120446996857128	10361	tags=54%, list=24%, signal=41%	ENSG00000243414/ENSG00000125571/ENSG00000112799/ENSG00000137462/ENSG00000170458/ENSG00000204397/ENSG00000134070/ENSG00000239998/ENSG00000134061/ENSG00000129988/ENSG00000066336/ENSG00000174125/ENSG00000196352/ENSG00000198001/ENSG00000254087/ENSG00000169403/ENSG00000131068/ENSG00000090376/ENSG00000118503/ENSG00000132256/ENSG00000101336/ENSG00000134242/ENSG00000154589/ENSG00000127666/ENSG00000184216/ENSG00000105483/ENSG00000174130/ENSG00000096968/ENSG00000135218	0.557332238758646
BP	GO:0071496	cellular response to external stimulus	74	0.51743544858897	1.93681634712775	1.19693820228674e-05	0.00434696730595703	0.00434696730595703	10341	tags=45%, list=24%, signal=34%	ENSG00000240583/ENSG00000104689/ENSG00000101916/ENSG00000171522/ENSG00000137757/ENSG00000172936/ENSG00000261371/ENSG00000064666/ENSG00000138685/ENSG00000259207/ENSG00000105695/ENSG00000154864/ENSG00000067182/ENSG00000137752/ENSG00000002330/ENSG00000125538/ENSG00000116717/ENSG00000030110/ENSG00000123700/ENSG00000026103/ENSG00000164171/ENSG00000117394/ENSG00000168040/ENSG00000134294/ENSG00000109458/ENSG00000120889/ENSG00000169194/ENSG00000108821/ENSG00000169967/ENSG00000103335/ENSG00000196664/ENSG00000169372/ENSG00000006062	0.593325476396405
BP	GO:0007218	neuropeptide signaling pathway	102	-0.482725771007961	-1.93620251771167	2.56647499042141e-05	0.00739233296378968	0.00739233296378968	7096	tags=33%, list=16%, signal=28%	ENSG00000197487/ENSG00000125522/ENSG00000137642/ENSG00000204174/ENSG00000124089/ENSG00000101958/ENSG00000133636/ENSG00000175206/ENSG00000173080/ENSG00000119973/ENSG00000168081/ENSG00000126010/ENSG00000173198/ENSG00000006128/ENSG00000186867/ENSG00000174948/ENSG00000116014/ENSG00000164326/ENSG00000139572/ENSG00000264717/ENSG00000110148/ENSG00000163794/ENSG00000141433/ENSG00000183971/ENSG00000135577/ENSG00000185149/ENSG00000171596/ENSG00000128285/ENSG00000187258/ENSG00000115138/ENSG00000144227/ENSG00000121764/ENSG00000137252/ENSG00000147571	0.575610261071129
BP	GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis	34	-0.588762390866634	-1.91703903496217	0.00048394701259653	0.0421084312106126	0.0421084312106126	9185	tags=44%, list=21%, signal=35%	ENSG00000199051/ENSG00000283785/ENSG00000194717/ENSG00000208006/ENSG00000207870/ENSG00000199075/ENSG00000207611/ENSG00000207743/ENSG00000207761/ENSG00000207805/ENSG00000208005/ENSG00000207752/ENSG00000207713/ENSG00000006638/ENSG00000284231	0.49849310876659
MF	GO:0032396	inhibitory MHC class I receptor activity	11	0.786182151941378	1.91323660765744	0.000597839405465279	0.0483856782440882	0.0483856782440882	6344	tags=73%, list=14%, signal=62%	ENSG00000187116/ENSG00000244482/ENSG00000239961/ENSG00000204577/ENSG00000239998/ENSG00000186818/ENSG00000104974/ENSG00000105609	0.477270815362862
BP	GO:0046633	alpha-beta T cell proliferation	33	0.584929313483983	1.91174415602896	0.00076185767315417	0.0559430018677863	0.0559430018677863	7279	tags=39%, list=17%, signal=33%	ENSG00000143184/ENSG00000136997/ENSG00000102034/ENSG00000105246/ENSG00000170298/ENSG00000110944/ENSG00000196352/ENSG00000168961/ENSG00000171916/ENSG00000162594/ENSG00000204592/ENSG00000163513/ENSG00000107738	0.477270815362862
MF	GO:0033691	sialic acid binding	21	0.640925261888121	1.90932950974914	0.00178508743403564	0.0926138840776379	0.0926138840776379	6211	tags=57%, list=14%, signal=49%	ENSG00000161640/ENSG00000254521/ENSG00000161643/ENSG00000142512/ENSG00000254415/ENSG00000105695/ENSG00000188404/ENSG00000007908/ENSG00000105383/ENSG00000181092/ENSG00000129450/ENSG00000105366	0.45505986738723
BP	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	29	0.591803824511285	1.90022276625001	0.00190733681216853	0.0954011041439743	0.0954011041439743	13233	tags=69%, list=30%, signal=48%	ENSG00000179344/ENSG00000095970/ENSG00000204257/ENSG00000204287/ENSG00000196188/ENSG00000198502/ENSG00000232629/ENSG00000163131/ENSG00000136943/ENSG00000223865/ENSG00000231389/ENSG00000196126/ENSG00000196735/ENSG00000204252/ENSG00000079805/ENSG00000135047/ENSG00000166710/ENSG00000132842/ENSG00000145416/ENSG00000242574	0.45505986738723
BP	GO:0034341	response to type II interferon	106	0.475852909303174	1.89987549844558	1.14595300502909e-05	0.00434696730595703	0.00434696730595703	10413	tags=41%, list=24%, signal=31%	ENSG00000108691/ENSG00000018280/ENSG00000118520/ENSG00000078401/ENSG00000137462/ENSG00000162645/ENSG00000142089/ENSG00000111012/ENSG00000185201/ENSG00000185885/ENSG00000137193/ENSG00000140853/ENSG00000137752/ENSG00000117228/ENSG00000141510/ENSG00000204472/ENSG00000019582/ENSG00000164756/ENSG00000168961/ENSG00000171885/ENSG00000162594/ENSG00000225697/ENSG00000163982/ENSG00000067066/ENSG00000132170/ENSG00000204264/ENSG00000117226/ENSG00000231389/ENSG00000117560/ENSG00000138496/ENSG00000136436/ENSG00000205220/ENSG00000179583/ENSG00000106588/ENSG00000161921/ENSG00000101336/ENSG00000183347/ENSG00000140968/ENSG00000025434/ENSG00000132109/ENSG00000096968/ENSG00000173193/ENSG00000240065	0.593325476396405
CC	GO:0042613	MHC class II protein complex	15	0.710764743123726	1.8984553586672	0.00111026126486075	0.0724532214482958	0.0724532214482958	10955	tags=80%, list=25%, signal=60%	ENSG00000179344/ENSG00000204257/ENSG00000204287/ENSG00000019582/ENSG00000198502/ENSG00000232629/ENSG00000223865/ENSG00000231389/ENSG00000196126/ENSG00000196735/ENSG00000204252/ENSG00000166710	0.45505986738723
BP	GO:0071168	protein localization to chromatin	61	0.519035105729549	1.897081845974	7.29806367739924e-05	0.0148041524857293	0.0148041524857293	12790	tags=44%, list=29%, signal=31%	ENSG00000276043/ENSG00000274618/ENSG00000278463/ENSG00000278705/ENSG00000066336/ENSG00000115163/ENSG00000138795/ENSG00000276180/ENSG00000277075/ENSG00000123374/ENSG00000124635/ENSG00000146263/ENSG00000062650/ENSG00000166851/ENSG00000158406/ENSG00000096968/ENSG00000197837/ENSG00000125885/ENSG00000197238/ENSG00000165280/ENSG00000270882/ENSG00000161010/ENSG00000270276/ENSG00000100749/ENSG00000169621/ENSG00000102786/ENSG00000277157	0.538434096309916
BP	GO:0042088	T-helper 1 type immune response	61	0.517675316546423	1.89211179415056	7.67619839136155e-05	0.0148041524857293	0.0148041524857293	11420	tags=51%, list=26%, signal=38%	ENSG00000143184/ENSG00000018280/ENSG00000115594/ENSG00000105246/ENSG00000115602/ENSG00000115607/ENSG00000115604/ENSG00000196843/ENSG00000136634/ENSG00000110944/ENSG00000137496/ENSG00000168961/ENSG00000138795/ENSG00000125538/ENSG00000162594/ENSG00000135046/ENSG00000204264/ENSG00000130038/ENSG00000205220/ENSG00000135077/ENSG00000106588/ENSG00000196126/ENSG00000150782/ENSG00000189403/ENSG00000197272/ENSG00000240065/ENSG00000105639/ENSG00000117586/ENSG00000137033/ENSG00000006042/ENSG00000168811	0.538434096309916
CC	GO:0042611	MHC protein complex	23	0.654158524671315	1.88747612346414	0.000448152598144509	0.0398876943753464	0.0398876943753464	11682	tags=70%, list=27%, signal=51%	ENSG00000179344/ENSG00000204257/ENSG00000204287/ENSG00000019582/ENSG00000198502/ENSG00000232629/ENSG00000204592/ENSG00000223865/ENSG00000204642/ENSG00000231389/ENSG00000196126/ENSG00000196735/ENSG00000204252/ENSG00000234745/ENSG00000166710/ENSG00000204632	0.49849310876659
BP	GO:2000252	negative regulation of feeding behavior	10	-0.791178486619724	-1.88375606598652	0.0014051507136092	0.0832427227714729	0.0832427227714729	4544	tags=60%, list=10%, signal=54%	ENSG00000104918/ENSG00000164326/ENSG00000163794/ENSG00000185149/ENSG00000187258/ENSG00000147571	0.45505986738723
BP	GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator	14	0.713763806925016	1.8827380935648	0.00164167070863629	0.0913842744248029	0.0913842744248029	6695	tags=43%, list=15%, signal=36%	ENSG00000026508/ENSG00000019549/ENSG00000124216/ENSG00000019582/ENSG00000183255/ENSG00000122691	0.45505986738723
BP	GO:0032729	positive regulation of type II interferon production	74	0.502290135326537	1.88012581618511	3.20578442095889e-05	0.00845324864665597	0.00845324864665597	11420	tags=46%, list=26%, signal=34%	ENSG00000018280/ENSG00000115594/ENSG00000101916/ENSG00000170458/ENSG00000105246/ENSG00000115607/ENSG00000115604/ENSG00000196843/ENSG00000239732/ENSG00000110944/ENSG00000172243/ENSG00000168961/ENSG00000125538/ENSG00000163251/ENSG00000162594/ENSG00000138684/ENSG00000223865/ENSG00000168040/ENSG00000204264/ENSG00000016082/ENSG00000162739/ENSG00000231389/ENSG00000205220/ENSG00000135077/ENSG00000106588/ENSG00000134242/ENSG00000150782/ENSG00000196664/ENSG00000197272/ENSG00000240065/ENSG00000117586/ENSG00000164251/ENSG00000104972/ENSG00000168811	0.557332238758646
MF	GO:0098641	cadherin binding involved in cell-cell adhesion	18	0.656569978787584	1.86635676019516	0.0019925827837377	0.0967676976311685	0.0967676976311685	6320	tags=50%, list=14%, signal=43%	ENSG00000163191/ENSG00000111057/ENSG00000128283/ENSG00000117519/ENSG00000107438/ENSG00000182718/ENSG00000006453/ENSG00000135046/ENSG00000184363	0.431707695803346
