ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
MF	GO:0030371	translation repressor activity	35	0.465765779895813	1.5239172251191	0.0262946160284278	0.35655670078808	0.35655670078808	9379	tags=29%, list=21%, signal=22%	ENSG00000253250/ENSG00000128016/ENSG00000176974/ENSG00000163331/ENSG00000243056/ENSG00000020577/ENSG00000214706/ENSG00000185650/ENSG00000176890/ENSG00000152518	0.352487857583619
BP	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	37	-0.465963498858323	-1.52351609322085	0.0194987665055285	0.308433271927067	0.308433271927067	11804	tags=38%, list=27%, signal=28%	ENSG00000130529/ENSG00000083720/ENSG00000070985/ENSG00000153956/ENSG00000115263/ENSG00000107758/ENSG00000155897/ENSG00000173612/ENSG00000185002/ENSG00000054148/ENSG00000104321/ENSG00000164326/ENSG00000184350/ENSG00000147571	0.352487857583619
BP	GO:0046642	negative regulation of alpha-beta T cell proliferation	12	0.614484765851983	1.52297299302421	0.0391180339192883	0.441558023415966	0.441558023415966	7279	tags=42%, list=17%, signal=35%	ENSG00000143184/ENSG00000170298/ENSG00000168961/ENSG00000171916/ENSG00000107738	0.321775918075361
BP	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	186	0.346096432118181	1.52255381215687	0.000935502105530539	0.0640512220286606	0.0640512220286606	14550	tags=41%, list=33%, signal=28%	ENSG00000204616/ENSG00000239961/ENSG00000135114/ENSG00000101916/ENSG00000112851/ENSG00000172936/ENSG00000168884/ENSG00000095970/ENSG00000162645/ENSG00000134070/ENSG00000163565/ENSG00000239732/ENSG00000204610/ENSG00000204618/ENSG00000181481/ENSG00000150457/ENSG00000198001/ENSG00000038945/ENSG00000204388/ENSG00000254087/ENSG00000145365/ENSG00000164430/ENSG00000110057/ENSG00000089041/ENSG00000204389/ENSG00000118503/ENSG00000276600/ENSG00000162711/ENSG00000005893/ENSG00000104312/ENSG00000135077/ENSG00000179630/ENSG00000134242/ENSG00000104365/ENSG00000188706/ENSG00000107201/ENSG00000173039/ENSG00000105373/ENSG00000127666/ENSG00000184216/ENSG00000155629/ENSG00000105483/ENSG00000189403/ENSG00000073331/ENSG00000174130/ENSG00000196664/ENSG00000135218/ENSG00000106100/ENSG00000139370/ENSG00000164251/ENSG00000167207/ENSG00000129657/ENSG00000012504/ENSG00000023445/ENSG00000070010/ENSG00000163812/ENSG00000151414/ENSG00000184584/ENSG00000105939/ENSG00000120280/ENSG00000108984/ENSG00000128604/ENSG00000163362/ENSG00000088888/ENSG00000136869/ENSG00000215301/ENSG00000134321/ENSG00000204160/ENSG00000154370/ENSG00000143353/ENSG00000036828/ENSG00000000003/ENSG00000178999/ENSG00000159714/ENSG00000154124/ENSG00000161929/ENSG00000168310	0.477270815362862
BP	GO:0001783	B cell apoptotic process	15	0.570026376273341	1.52254264028596	0.0357027161429877	0.415354857858463	0.415354857858463	6337	tags=27%, list=14%, signal=23%	ENSG00000136634/ENSG00000113916/ENSG00000019582/ENSG00000254087	0.321775918075361
BP	GO:0035771	interleukin-4-mediated signaling pathway	13	0.606528778742798	1.52186564141517	0.0318983207113846	0.394151882991414	0.394151882991414	10434	tags=62%, list=24%, signal=47%	ENSG00000113520/ENSG00000147168/ENSG00000131724/ENSG00000126561/ENSG00000077238/ENSG00000081237/ENSG00000173193/ENSG00000105639	0.321775918075361
MF	GO:0005539	glycosaminoglycan binding	220	0.33884424340565	1.52119100663842	0.00109316891128809	0.0718995268975543	0.0718995268975543	10649	tags=37%, list=24%, signal=28%	ENSG00000132465/ENSG00000188488/ENSG00000026508/ENSG00000211899/ENSG00000164761/ENSG00000123610/ENSG00000173432/ENSG00000157766/ENSG00000137440/ENSG00000133067/ENSG00000108700/ENSG00000137462/ENSG00000095970/ENSG00000138685/ENSG00000161031/ENSG00000204420/ENSG00000133110/ENSG00000134193/ENSG00000164318/ENSG00000000971/ENSG00000160867/ENSG00000038427/ENSG00000165799/ENSG00000204381/ENSG00000127507/ENSG00000180210/ENSG00000136235/ENSG00000002726/ENSG00000169245/ENSG00000119630/ENSG00000187908/ENSG00000132702/ENSG00000142871/ENSG00000188404/ENSG00000113296/ENSG00000010327/ENSG00000169429/ENSG00000106991/ENSG00000198732/ENSG00000143321/ENSG00000103196/ENSG00000163710/ENSG00000166979/ENSG00000166035/ENSG00000108688/ENSG00000103888/ENSG00000154734/ENSG00000163513/ENSG00000166106/ENSG00000106927/ENSG00000099937/ENSG00000106823/ENSG00000117601/ENSG00000118523/ENSG00000162711/ENSG00000104415/ENSG00000084674/ENSG00000138379/ENSG00000104332/ENSG00000214274/ENSG00000091986/ENSG00000101282/ENSG00000113657/ENSG00000167635/ENSG00000151655/ENSG00000115414/ENSG00000081237/ENSG00000137801/ENSG00000167941/ENSG00000198670/ENSG00000163430/ENSG00000069702/ENSG00000058085/ENSG00000146374/ENSG00000119681/ENSG00000172638/ENSG00000140511/ENSG00000125378/ENSG00000064205/ENSG00000106100/ENSG00000128791	0.45505986738723
BP	GO:0050871	positive regulation of B cell activation	63	0.417739405357267	1.52090331931889	0.0165011808049036	0.284857266036412	0.284857266036412	11019	tags=33%, list=25%, signal=25%	ENSG00000139193/ENSG00000168884/ENSG00000113520/ENSG00000136634/ENSG00000239732/ENSG00000122122/ENSG00000157227/ENSG00000066336/ENSG00000019582/ENSG00000138684/ENSG00000100219/ENSG00000161955/ENSG00000081237/ENSG00000168918/ENSG00000169194/ENSG00000186827/ENSG00000122376/ENSG00000159958/ENSG00000117586/ENSG00000133247/ENSG00000167207	0.352487857583619
MF	GO:0008066	glutamate receptor activity	26	-0.497195615157633	-1.51971881869863	0.0353735980024891	0.415148783672734	0.415148783672734	15849	tags=73%, list=36%, signal=47%	ENSG00000152822/ENSG00000168959/ENSG00000176884/ENSG00000120251/ENSG00000105464/ENSG00000198822/ENSG00000196277/ENSG00000152578/ENSG00000163873/ENSG00000113262/ENSG00000105737/ENSG00000125675/ENSG00000161509/ENSG00000273079/ENSG00000183454/ENSG00000179603/ENSG00000124493/ENSG00000164082/ENSG00000171189	0.321775918075361
BP	GO:0070663	regulation of leukocyte proliferation	216	0.342267650611785	1.51937141309975	0.00124606853929125	0.0794535153335861	0.0794535153335861	11194	tags=37%, list=26%, signal=27%	ENSG00000143184/ENSG00000155659/ENSG00000163501/ENSG00000106952/ENSG00000128340/ENSG00000100368/ENSG00000118520/ENSG00000174697/ENSG00000162692/ENSG00000114013/ENSG00000198851/ENSG00000108700/ENSG00000105246/ENSG00000203710/ENSG00000113520/ENSG00000120337/ENSG00000160223/ENSG00000069482/ENSG00000136634/ENSG00000239732/ENSG00000170298/ENSG00000184371/ENSG00000122122/ENSG00000147168/ENSG00000110944/ENSG00000136235/ENSG00000186818/ENSG00000124145/ENSG00000203747/ENSG00000162511/ENSG00000164136/ENSG00000196352/ENSG00000204472/ENSG00000019582/ENSG00000090659/ENSG00000163563/ENSG00000168961/ENSG00000171916/ENSG00000125538/ENSG00000172216/ENSG00000162594/ENSG00000130427/ENSG00000135046/ENSG00000254087/ENSG00000084207/ENSG00000204592/ENSG00000118503/ENSG00000163513/ENSG00000147889/ENSG00000138684/ENSG00000107738/ENSG00000223865/ENSG00000168040/ENSG00000106546/ENSG00000231389/ENSG00000182578/ENSG00000135077/ENSG00000161955/ENSG00000134242/ENSG00000081237/ENSG00000167851/ENSG00000204305/ENSG00000196126/ENSG00000169194/ENSG00000147437/ENSG00000150782/ENSG00000189403/ENSG00000186827/ENSG00000096968/ENSG00000197272/ENSG00000159958/ENSG00000125378/ENSG00000204482/ENSG00000117586/ENSG00000128791/ENSG00000137033/ENSG00000090554/ENSG00000271503/ENSG00000104972	0.45505986738723
